step,robot_id,position,observation_summary,target_position,assigned_package,fsm_state,selected_action,reward,collision_flag,planner_waypoint
1,robot_0,"(0,1)","pos:(0,1)|battery:99.8","(2,2)",task_01,MOVING_TO_PACKAGE,SOUTH,-0.10,False,"(0,1)"
1,robot_1,"(1,1)","pos:(1,1)|battery:99.8","(6,2)",task_02,MOVING_TO_PACKAGE,SOUTH,-0.10,False,"(1,1)"
2,robot_0,"(1,1)","pos:(1,1)|battery:99.6","(2,2)",task_01,MOVING_TO_PACKAGE,EAST,-0.10,False,"(1,1)"
2,robot_1,"(2,1)","pos:(2,1)|battery:99.6","(6,2)",task_02,MOVING_TO_PACKAGE,EAST,-0.10,False,"(2,1)"
3,robot_0,"(2,1)","pos:(2,1)|battery:99.4","(2,2)",task_01,PICKING,EAST,-0.10,False,"(2,1)"
3,robot_1,"(3,1)","pos:(3,1)|battery:99.4","(6,2)",task_02,MOVING_TO_PACKAGE,EAST,-0.10,False,"(3,1)"
4,robot_0,"(2,1)","pos:(2,1)|battery:99.0","(7,7)",task_01,MOVING_TO_DELIVERY,PICK,19.90,False,"(2,1)"
4,robot_1,"(4,1)","pos:(4,1)|battery:99.2","(6,2)",task_02,MOVING_TO_PACKAGE,EAST,-0.10,False,"(4,1)"
5,robot_0,"(3,1)","pos:(3,1)|battery:98.6","(7,7)",task_01,MOVING_TO_DELIVERY,EAST,-0.10,False,"(3,1)"
5,robot_1,"(5,1)","pos:(5,1)|battery:99.0","(6,2)",task_02,MOVING_TO_PACKAGE,EAST,-0.10,False,"(5,1)"
6,robot_0,"(3,2)","pos:(3,2)|battery:98.2","(7,7)",task_01,MOVING_TO_DELIVERY,SOUTH,-0.10,False,"(3,2)"
6,robot_1,"(6,1)","pos:(6,1)|battery:98.8","(6,2)",task_02,PICKING,EAST,-0.10,False,"(6,1)"
7,robot_0,"(3,3)","pos:(3,3)|battery:97.8","(7,7)",task_01,MOVING_TO_DELIVERY,SOUTH,-0.10,False,"(3,3)"
7,robot_1,"(6,1)","pos:(6,1)|battery:98.4","(0,7)",task_02,MOVING_TO_DELIVERY,PICK,19.90,False,"(6,1)"
8,robot_0,"(3,4)","pos:(3,4)|battery:97.4","(7,7)",task_01,MOVING_TO_DELIVERY,SOUTH,-0.10,False,"(3,4)"
8,robot_1,"(5,1)","pos:(5,1)|battery:98.0","(0,7)",task_02,MOVING_TO_DELIVERY,WEST,-0.10,False,"(5,1)"
9,robot_0,"(3,5)","pos:(3,5)|battery:97.0","(7,7)",task_01,MOVING_TO_DELIVERY,SOUTH,-0.10,False,"(3,5)"
9,robot_1,"(4,1)","pos:(4,1)|battery:97.6","(0,7)",task_02,MOVING_TO_DELIVERY,WEST,-0.10,False,"(4,1)"
10,robot_0,"(3,6)","pos:(3,6)|battery:96.6","(7,7)",task_01,MOVING_TO_DELIVERY,SOUTH,-0.10,False,"(3,6)"
10,robot_1,"(3,1)","pos:(3,1)|battery:97.2","(0,7)",task_02,MOVING_TO_DELIVERY,WEST,-0.10,False,"(3,1)"
11,robot_0,"(3,7)","pos:(3,7)|battery:96.2","(7,7)",task_01,MOVING_TO_DELIVERY,SOUTH,-0.10,False,"(3,7)"
11,robot_1,"(2,1)","pos:(2,1)|battery:96.8","(0,7)",task_02,MOVING_TO_DELIVERY,WEST,-0.10,False,"(2,1)"
12,robot_0,"(4,7)","pos:(4,7)|battery:95.8","(7,7)",task_01,MOVING_TO_DELIVERY,EAST,-0.10,False,"(4,7)"
12,robot_1,"(1,1)","pos:(1,1)|battery:96.4","(0,7)",task_02,MOVING_TO_DELIVERY,WEST,-0.10,False,"(1,1)"
13,robot_0,"(5,7)","pos:(5,7)|battery:95.4","(7,7)",task_01,MOVING_TO_DELIVERY,EAST,-0.10,False,"(5,7)"
13,robot_1,"(0,1)","pos:(0,1)|battery:96.0","(0,7)",task_02,MOVING_TO_DELIVERY,WEST,-0.10,False,"(0,1)"
14,robot_0,"(6,7)","pos:(6,7)|battery:95.0","(7,7)",task_01,MOVING_TO_DELIVERY,EAST,-0.10,False,"(6,7)"
14,robot_1,"(0,2)","pos:(0,2)|battery:95.6","(0,7)",task_02,MOVING_TO_DELIVERY,SOUTH,-0.10,False,"(0,2)"
15,robot_0,"(6,7)","pos:(6,7)|battery:94.8","(2,6)",task_03,MOVING_TO_PACKAGE,DROP,99.90,False,"(6,7)"
15,robot_1,"(0,3)","pos:(0,3)|battery:95.2","(0,7)",task_02,MOVING_TO_DELIVERY,SOUTH,-0.10,False,"(0,3)"
16,robot_0,"(5,7)","pos:(5,7)|battery:94.6","(2,6)",task_03,MOVING_TO_PACKAGE,WEST,-0.10,False,"(5,7)"
16,robot_1,"(0,4)","pos:(0,4)|battery:94.8","(0,7)",task_02,MOVING_TO_DELIVERY,SOUTH,-0.10,False,"(0,4)"
17,robot_0,"(4,7)","pos:(4,7)|battery:94.4","(2,6)",task_03,MOVING_TO_PACKAGE,WEST,-0.10,False,"(4,7)"
17,robot_1,"(0,5)","pos:(0,5)|battery:94.4","(0,7)",task_02,MOVING_TO_DELIVERY,SOUTH,-0.10,False,"(0,5)"
18,robot_0,"(3,7)","pos:(3,7)|battery:94.2","(2,6)",task_03,MOVING_TO_PACKAGE,WEST,-0.10,False,"(3,7)"
18,robot_1,"(0,6)","pos:(0,6)|battery:94.0","(0,7)",task_02,MOVING_TO_DELIVERY,SOUTH,-0.10,False,"(0,6)"
19,robot_0,"(3,6)","pos:(3,6)|battery:94.0","(2,6)",task_03,PICKING,NORTH,-0.10,False,"(3,6)"
19,robot_1,"(0,6)","pos:(0,6)|battery:93.8","(6,6)",task_04,MOVING_TO_PACKAGE,DROP,99.90,False,"(0,6)"
20,robot_0,"(3,6)","pos:(3,6)|battery:93.6","(7,0)",task_03,MOVING_TO_DELIVERY,PICK,19.90,False,"(3,6)"
20,robot_1,"(0,5)","pos:(0,5)|battery:93.6","(6,6)",task_04,MOVING_TO_PACKAGE,NORTH,-0.10,False,"(0,5)"
21,robot_0,"(3,5)","pos:(3,5)|battery:93.2","(7,0)",task_03,MOVING_TO_DELIVERY,NORTH,-0.10,False,"(3,5)"
21,robot_1,"(1,5)","pos:(1,5)|battery:93.4","(6,6)",task_04,MOVING_TO_PACKAGE,EAST,-0.10,False,"(1,5)"
22,robot_0,"(3,4)","pos:(3,4)|battery:92.8","(7,0)",task_03,MOVING_TO_DELIVERY,NORTH,-0.10,False,"(3,4)"
22,robot_1,"(2,5)","pos:(2,5)|battery:93.2","(6,6)",task_04,MOVING_TO_PACKAGE,EAST,-0.10,False,"(2,5)"
23,robot_0,"(3,3)","pos:(3,3)|battery:92.4","(7,0)",task_03,MOVING_TO_DELIVERY,NORTH,-0.10,False,"(3,3)"
23,robot_1,"(3,5)","pos:(3,5)|battery:93.0","(6,6)",task_04,MOVING_TO_PACKAGE,EAST,-0.10,False,"(3,5)"
24,robot_0,"(3,2)","pos:(3,2)|battery:92.0","(7,0)",task_03,MOVING_TO_DELIVERY,NORTH,-0.10,False,"(3,2)"
24,robot_1,"(4,5)","pos:(4,5)|battery:92.8","(6,6)",task_04,MOVING_TO_PACKAGE,EAST,-0.10,False,"(4,5)"
25,robot_0,"(3,1)","pos:(3,1)|battery:91.6","(7,0)",task_03,MOVING_TO_DELIVERY,NORTH,-0.10,False,"(3,1)"
25,robot_1,"(5,5)","pos:(5,5)|battery:92.6","(6,6)",task_04,MOVING_TO_PACKAGE,EAST,-0.10,False,"(5,5)"
26,robot_0,"(3,0)","pos:(3,0)|battery:91.2","(7,0)",task_03,MOVING_TO_DELIVERY,NORTH,-0.10,False,"(3,0)"
26,robot_1,"(6,5)","pos:(6,5)|battery:92.4","(6,6)",task_04,PICKING,EAST,-0.10,False,"(6,5)"
27,robot_0,"(4,0)","pos:(4,0)|battery:90.8","(7,0)",task_03,MOVING_TO_DELIVERY,EAST,-0.10,False,"(4,0)"
27,robot_1,"(6,5)","pos:(6,5)|battery:92.0","(7,7)",task_04,MOVING_TO_DELIVERY,PICK,19.90,False,"(6,5)"
28,robot_0,"(5,0)","pos:(5,0)|battery:90.4","(7,0)",task_03,MOVING_TO_DELIVERY,EAST,-0.10,False,"(5,0)"
28,robot_1,"(7,5)","pos:(7,5)|battery:91.6","(7,7)",task_04,MOVING_TO_DELIVERY,EAST,-0.10,False,"(7,5)"
29,robot_0,"(6,0)","pos:(6,0)|battery:90.0","(7,0)",task_03,MOVING_TO_DELIVERY,EAST,-0.10,False,"(6,0)"
29,robot_1,"(7,6)","pos:(7,6)|battery:91.2","(7,7)",task_04,MOVING_TO_DELIVERY,SOUTH,-0.10,False,"(7,6)"
30,robot_0,"(6,0)","pos:(6,0)|battery:89.8","(2,2)",task_05,MOVING_TO_PACKAGE,DROP,99.90,False,"(6,0)"
30,robot_1,"(7,6)","pos:(7,6)|battery:91.0","(6,2)",task_06,MOVING_TO_PACKAGE,DROP,99.90,False,"(7,6)"
1,robot_0,"(0,1)","pos:(0,1)|battery:99.8","(2,2)",task_01,MOVING_TO_PACKAGE,SOUTH,-0.10,False,"(0,1)"
1,robot_1,"(1,1)",N/A,"(6,2)",task_02,MOVING_TO_PACKAGE,SOUTH,-0.10,False,"(1,1)"
2,robot_0,"(1,1)","pos:(1,1)|battery:99.6","(2,2)",task_01,MOVING_TO_PACKAGE,EAST,-0.10,False,"(1,1)"
2,robot_1,"(2,1)","pos:(2,1)|battery:99.6","(6,2)",task_02,MOVING_TO_PACKAGE,EAST,-0.10,False,"(2,1)"
3,robot_0,"(2,1)","pos:(2,1)|battery:99.4","(2,2)",task_01,PICKING,EAST,-0.10,False,"(2,1)"
3,robot_1,"(3,1)","pos:(3,1)|battery:99.4","(6,2)",task_02,MOVING_TO_PACKAGE,EAST,-0.10,False,"(3,1)"
4,robot_0,"(2,1)","pos:(2,1)|battery:99.0","(7,7)",task_01,MOVING_TO_DELIVERY,PICK,19.90,False,"(2,1)"
4,robot_1,"(4,1)","pos:(4,1)|battery:99.2","(6,2)",task_02,MOVING_TO_PACKAGE,EAST,-0.10,False,"(4,1)"
5,robot_0,"(3,1)","pos:(3,1)|battery:98.6","(7,7)",task_01,MOVING_TO_DELIVERY,EAST,-0.10,False,"(3,1)"
5,robot_1,"(5,1)","pos:(5,1)|battery:99.0","(6,2)",task_02,MOVING_TO_PACKAGE,EAST,-0.10,False,"(5,1)"
6,robot_0,"(3,2)","pos:(3,2)|battery:98.2","(7,7)",task_01,MOVING_TO_DELIVERY,SOUTH,-0.10,False,"(3,2)"
6,robot_1,"(6,1)","pos:(6,1)|battery:98.8","(6,2)",task_02,PICKING,EAST,-0.10,False,"(6,1)"
7,robot_0,"(3,3)","pos:(3,3)|battery:97.8","(7,7)",task_01,MOVING_TO_DELIVERY,SOUTH,-0.10,False,"(3,3)"
7,robot_1,"(6,1)","pos:(6,1)|battery:98.4","(0,7)",task_02,MOVING_TO_DELIVERY,PICK,19.90,False,"(6,1)"
8,robot_0,"(3,4)","pos:(3,4)|battery:97.4","(7,7)",task_01,MOVING_TO_DELIVERY,SOUTH,-0.10,False,"(3,4)"
8,robot_1,"(5,1)","pos:(5,1)|battery:98.0","(0,7)",task_02,MOVING_TO_DELIVERY,WEST,-0.10,False,"(5,1)"
